stratum,budget,h,method,graphs,n_evaluable,MAE2,MAE2_se,ProfileMAE,signed_rho2,fallback_count,fallback_rate,valid_profile_rate,n_planned,validity
real,0.2,0.4,mechanism_aware_reference,8,22,0.18497560380227873,0.0426123923799702,0.07993496578995343,0.1759244376956643,,,,,
real,0.2,0.6,plugin,8,22,0.0717645971541191,0.01812865134547819,0.05868960778639065,-0.06694377576983022,,,,,
real,0.2,0.6,shared_mle,8,22,0.06140165135307951,0.015399766000200396,0.03392159628748093,0.06054049157669855,4,0.18181818181818182,,,
real,0.2,0.6,extratrees,8,22,0.0382497749327418,0.00807866968174428,0.02839273268511569,0.01109720020059543,,,1.0,,
real,0.2,0.6,qwen_thinking,8,66,0.1636698285557417,0.018584033767280985,0.08943066865483051,0.0627014806769883,,,,66,1.0
real,0.2,0.6,qwen_nonthinking,8,66,0.23327692053040777,0.032689514001092775,0.14605763878733474,0.04569718116726608,,,,66,1.0
real,0.2,0.6,mechanism_aware_reference,8,22,0.129097047059336,0.027878812892447234,0.05409422620420484,0.129097047059336,,,,,
real,0.3,0.4,plugin,8,20,0.14265486733143182,0.046424867603713865,0.09013562309336914,-0.14265486733143182,,,,,
real,0.3,0.4,shared_mle,8,20,0.16661310578830485,0.03263519836243013,0.0715669162205306,0.1346291097611459,0,0.0,,,
real,0.3,0.4,extratrees,8,20,0.0918124554835877,0.03319143204783982,0.049807061909758324,0.010091934681522276,,,1.0,,
real,0.3,0.4,mechanism_aware_reference,8,20,0.1848471002231747,0.042611149945884004,0.07935992186734589,0.17496804822246875,,,,,
real,0.3,0.6,plugin,8,22,0.06413294261924933,0.01705389106474309,0.056875513078083854,-0.059312121234960456,,,,,
real,0.3,0.6,shared_mle,8,22,0.08904946393552661,0.022111793949061292,0.0443088383817674,0.08759037953763846,4,0.18181818181818182,,,
real,0.3,0.6,extratrees,8,22,0.04135618570705164,0.009073580062913462,0.030320225045080355,0.018527237687650033,,,1.0,,
real,0.3,0.6,qwen_thinking,8,66,0.19689020935687934,0.03238510760126775,0.09623069006087116,0.10934530459782164,,,,66,1.0
real,0.3,0.6,qwen_nonthinking,8,66,0.24654800418558714,0.02386950520490716,0.13263900045159305,0.018115236722821636,,,,66,1.0
real,0.3,0.6,mechanism_aware_reference,8,22,0.13566034959576637,0.031144504662844307,0.05734121988532004,0.13566034959576637,,,,,
real,0.4,0.4,plugin,8,14,0.14371907931862898,0.04677406775922377,0.09040167609016843,-0.14371907931862898,,,,,
real,0.4,0.4,shared_mle,8,14,0.1592783088173497,0.03448366134830824,0.06999384734282693,0.12729431279019077,0,0.0,,,
real,0.4,0.4,extratrees,8,14,0.09258914911208542,0.03303955253460032,0.04995461607354997,0.011494472240866619,,,1.0,,
real,0.4,0.4,mechanism_aware_reference,8,14,0.18296827715150527,0.042679114922658835,0.0782871951791405,0.17308922515079936,,,,,
real,0.4,0.6,plugin,8,22,0.07062939215534395,0.017333176157902825,0.05949303724053959,-0.06580857077105508,,,,,
real,0.4,0.6,shared_mle,8,22,0.06344845495124443,0.011449542412128866,0.03201336976893014,0.06342307984782952,5,0.22727272727272727,,,
real,0.4,0.6,extratrees,8,22,0.03838598291469164,0.008196497357371848,0.02688037917072937,0.012124957528027341,,,1.0,,
real,0.4,0.6,qwen_thinking,8,66,0.1853988578639671,0.02456260285093651,0.09069999810349567,0.10410291207088093,,,,66,1.0
real,0.4,0.6,qwen_nonthinking,8,66,0.23513011989857738,0.043089869704795475,0.14678308949374927,0.046645792278377195,,,,66,1.0
real,0.4,0.6,mechanism_aware_reference,8,22,0.12586964425874825,0.026994763363764666,0.052002687416435045,0.12585351800140204,,,,,
real,0.5,0.4,plugin,8,8,0.14414694333969894,0.0466931937126119,0.09050864209543592,-0.14414694333969894,,,,,
real,0.5,0.4,shared_mle,8,8,0.14648933806865233,0.034452717617286355,0.06411230798683909,0.1145053420414934,0,0.0,,,
real,0.5,0.4,extratrees,8,8,0.09076690185265919,0.03319530324772813,0.049068041839533824,0.00967703681074152,,,1.0,,
real,0.5,0.4,mechanism_aware_reference,8,8,0.18205088301890276,0.04219292074776255,0.07774239635497195,0.17217183101819683,,,,,
real,0.5,0.6,plugin,8,18,0.07048631558978276,0.017307177207093502,0.059292414269692575,-0.06566549420549389,,,,,
