stratum,arm,config_id,mock,source,metric,value,MCSE,valid_fraction,limit_fraction,technical_failure_fraction,replacement_fraction,empty_fraction
real,B,qwen_thinking,False,snap_mathoverflow,delta_ProfileAE,0.018522056597613048,0.03426792013927823,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_highschool2013,delta_ProfileAE,-0.01217693801403975,0.0032521598713803773,1.0,0.0,0.0,0.0,0.0
real,B,qwen_thinking,False,sp_hospital,delta_ProfileAE,0.0431078567869606,0.03967799893282181,1.0,0.0,0.0,0.0,0.0
real,B,qwen_nonthinking,False,copenhagen_bluetooth,AE2,0.1313682298787805,0.03337153997498353,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,snap_collegemsg,AE2,0.07852084453849159,0.022867019472095025,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,snap_email_eu,AE2,0.11672875527965235,0.022363254721788742,0.8,0.0,0.0,0.2,0.0
real,B,qwen_nonthinking,False,snap_mathoverflow,AE2,0.07058739415845287,0.013654807652764422,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,sp_highschool2013,AE2,0.16976925043366375,0.046877089682683996,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,sp_hospital,AE2,0.12022763839175163,0.011462433636829535,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0
real,B,qwen_nonthinking,False,copenhagen_bluetooth,ProfileAE,0.10267012349748214,0.03881241458166341,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,snap_collegemsg,ProfileAE,0.03815726680197269,0.01093600149620416,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,snap_email_eu,ProfileAE,0.08426085227535043,0.01075848573505726,0.8,0.0,0.0,0.2,0.0
real,B,qwen_nonthinking,False,snap_mathoverflow,ProfileAE,0.027394016595410638,0.0046734536409258525,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,sp_highschool2013,ProfileAE,0.103359360360531,0.03088158809061196,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,sp_hospital,ProfileAE,0.05211211152945679,0.0059183968943169706,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0
real,B,qwen_nonthinking,False,copenhagen_bluetooth,delta_AE2,0.03482270620817616,0.033144973767712825,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,snap_collegemsg,delta_AE2,0.07549159905402411,0.022557466767394112,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,snap_email_eu,delta_AE2,0.05766504482301335,0.02300796931586434,0.8,0.0,0.0,0.2,0.0
real,B,qwen_nonthinking,False,snap_mathoverflow,delta_AE2,-0.03788241457132878,0.014030669229311166,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,sp_highschool2013,delta_AE2,0.1671604963173094,0.04675390720473784,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0
real,B,qwen_nonthinking,False,sp_hospital,delta_AE2,0.056884389820503395,0.010310012232307342,0.8666666666666667,0.0,0.0,0.13333333333333333,0.0
